index,name,country,latitude,longitude
0,Conway,US,35.10866,-92.436905
1,Sikeston,US,36.857394,-89.586051
2,Tahlequah,US,35.888765,-94.979859
3,Mountain Home,US,36.3549565,-92.3410256
4,Claremore,US,36.293955,-95.627125
5,Carthage,US,37.141958,-94.313292
6,Rogers,US,36.3313,-94.149024
7,Siloam Springs,US,36.183467,-94.512608
8,Lebanon,US,37.663493,-92.645849
9,West Plains,US,36.714712,-91.870322
10,Sherwood,US,34.838767,-92.236838
11,Harrison,US,36.269042,-93.139074
12,Commerce,US,34.247854,-83.456616
13,Van Buren,US,35.469113,-94.353427
14,Newport,US,35.618058,-91.254954
15,Morrilton,US,35.168795,-92.726727
16,Neosho,US,36.839161,-94.397282
17,Saint Robert,US,37.825154,-92.152265
18,Poplar Bluff,US,36.755728,-90.411818
19,Pryor,US,36.262476,-95.330024
20,Clinton,US,38.362772,-93.750585
21,Jacksonville,US,34.885098,-92.11255
22,Leavenworth,US,39.268764,-94.930386
23,Ruston,US,32.543518,-92.624043
24,Mexico,US,39.120508,-91.890515
25,Salem,US,37.634119,-91.546043
26,Miami,US,36.904509,-94.880384
27,Dexter,US,36.801185,-89.992373
28,Poteau,US,35.094581,-94.628209
29,Branson,US,36.639045,-93.259769
30,Manhattan,US,39.188472,-96.556204
31,Nevada,US,37.832201,-94.326552
32,Nashville,US,33.925385,-93.857443
33,Paragould,US,36.057305,-90.52294
34,Farmington,US,37.7894913,-90.4353609
35,Idabel,US,33.898037,-94.803528
36,Bartlesville,US,36.740695,-95.931584
37,Fort Scott,US,37.807978,-94.708671
38,Coffeyville,US,37.042359,-95.579038
39,Moberly,US,39.4476727,-92.4204522
40,Eldon,US,38.3352206,-92.5838242
41,Jefferson City,US,38.580049,-92.219907
42,Junction City,US,39.018965,-96.820674
43,Bolivar,US,37.591722,-93.403975
44,Jonesboro,US,35.81895,-90.685267
45,Monett,US,36.911771,-93.903147
46,Hot Springs,US,34.490929,-93.089251
47,Vinita,US,36.631855,-95.140418
48,Sallisaw,US,35.451011,-94.80181
49,Hugo,US,34.007244,-95.487949
50,Fulton,US,38.864222,-91.945748
51,Springdale,US,36.166247,-94.146954
52,Ava,US,36.959408,-92.676527
53,Russellville,US,35.280505,-93.105157
54,Booneville,US,35.1433678,-93.9018368
55,Warrensburg,US,38.781105,-93.735334
56,Troy,US,38.988635,-90.982017
